"Comment","Designator","Footprint","LCSC Part#"
"100uF 35V","C1, C5, C16, C20","CaP_Elec_SMD_6.6x7.8","C178560"
"100nF","C2, C3, C4, C6, C7, C8, C12, C14, C17, C18, C19, C21, C22, C23, C26, C28, C30, C31, C32, C33, C34, C35, C36","CAP_0402_N","C307331"
"22nF","C9, C10, C24, C25","CAP_0402_N","C1532"
"4.7uF","C11, C13, C27, C29","CAP_0603","C69335"
"10uF 35V","C15, C37","CAP_1206","C13585"
"22uF","C38, C39","CAP_1206","C90146"
"100pF","C40","CAP_0603","C14858"
"40V 3A","D1","b340a-13-f","C85098"
"4P","J1, J2, J6, J7","B4B-XH-AM","C37815"
"19S","J3, J4, J5","HDR-1x19",""
"2 Pos","J8, J9, J10, J11, J12, J13, J14, J15, J16","B2B-XH-AM","C161869"
"2x4P","J17","Header_2x4P 0.1 ",""
"15uH","L1","Inductor_MWSA0603S","C408452"
"GRN","LED1, LED2, LED3, LED4, LED5","LED_0805","C188728"
"","MH1, MH2, MH3, MH4","M4 Mounting Hole",""
"1x12 Socket","MOD1","CNC_Module_V3",""
"10k","R1, R13, R14, R18, R19, R20, R21, R26, R27","RES_0402_N","C60490"
"0.11R","R2, R3, R4, R5, R6, R7, R8, R9","RES_1206","C247458"
"1k","R10, R11, R12, R15","RES_0402_N","C11702"
"100R","R16, R17, R28, R29","RES_0402_N","C106232"
"1.5k","R22, R23, R24, R25, R31","RES_0402_N","C25867"
"510k","R30","RES_0603","C23192"
"100k","R32","RES_0603","C25803"
"13.3k","R33","RES_0603","C25952"
"Micro SD","SD1","TF-01A_Rev2",""
"2 Pos","TB1","TB_5mm_2POS","C505824"
"TMC2209","U1, U2, U3, U4","TMC2209-LA (0.22mm)","C465949"
"AHCT125","U5","TSSOP-14","C36365"
"TPS54202","U6","SOT23-THIN-6","C134129"
