"RefDes","Quantity","Value","Name","Pattern","Manufacturer","MFG P/N","Source"
"C1, C5, C16, C20","4","100uF 35V","POL_100uF_35V EEEFK1V101XP","CaP_Elec_SMD_6.6x7.8","PANASONIC","EEEFK1V101XP","https://lcsc.com/product-detail/Aluminum-Electrolytic-Capacitors-SMD_PANASONIC-EEEFK1V101XP_C178560.html"
"C2, C3, C4, C6, C7, C8, C12, C14, C17, C18, C19, C21, C22, C23, C26, C28, C30, C31, C32, C33, C34, C35, C36","23","100nF","NP_100nF_50V_0402","CAP_0402_N","Samsung Electro-Mechanics","CL05B104KB54PNC","https://lcsc.com/product-detail/Others_Samsung-Electro-Mechanics_CL05B104KB54PNC_Samsung-Electro-Mechanics-CL05B104KB54PNC_C307331.html"
"C9, C10, C24, C25","4","22nF","NP_22nF_50V_0402","CAP_0402_N","Samsung Electro-Mechanics","CL05B223KB5NNNC","https://lcsc.com/product-detail/Others_Samsung-Electro-Mechanics-CL05B223KB5NNNC_C337699.html"
"C11, C13, C27, C29","4","4.7uF","4.7uF_25V_0603","CAP_0603","Samsung Electro-Mechanics","CL10A475KA8NQNC","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL10A475KA8NQNC_4-7uF-475-10-25V_C69335.html"
"C15, C37","2","10uF 35V","NP_10uF_35V_1206","CAP_1206","Taiyo Yuden","GMK316BJ106KL-T","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Taiyo-Yuden-GMK316BJ106KL-T_C92797.html"
"C38, C39","2","22uF","NP_22uF_6.3V_1206","CAP_1206","Taiyo Yuden","JMK316BJ226KL-T","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_TAIYO-YUDEN_JMK316BJ226KL-T_22uF-226-10-6-3V_C92791.html"
"C40","1","100pF","NP_100pF_50V_0603","CAP_0603","Walsin Tech Corp","0603B101K500CT","https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Walsin-Tech-Corp-0603B101K500_C123499.html"
"D1","1","40V 3A","Schottkey_40V_3A_DO-214AC","b340a-13-f","Diodes Incorporated","B340A-13-F","https://lcsc.com/product-detail/Schottky-Barrier-Diodes-SBD_DIODES_B340A-13-F_B340A-13-F_C85098.html"
"J1, J2, J6, J7","4","4P","XH-4A","B4B-XH-AM","BOOMELE(Boom Precision Elec)","C37815","https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_BOOMELE-Boom-Precision-Elec-XH-4A_C37815.html"
"J3, J4, J5","3","19S","HDR Socket 1x19 0.1 ","HDR-1x19"," Popular Products About LCSC","C319202","https://lcsc.com/product-detail/Lack-of-specifications_BOOMELE-Boom-Precision-Elec-C319202_C319202.html"
"J8, J9, J10, J11, J12, J13, J14, J15, J16","9","2 Pos","B2B-XH-AM","B2B-XH-AM","JST","B2B-XH-AM(LF)(SN)","https://lcsc.com/product-detail/Wire-To-Board-Wire-To-Wire-Connector_JST-Sales-America-B2B-XH-AM-LF-SN_C161869.html"
"J17","1","2x4P","Header_2x4P","Header_2x4P 0.1 ","CJT(Changjiang Connectors)","A2541HWR-2x4P","https://lcsc.com/product-detail/Pin-Header-Female-Header_CJT-Changjiang-Connectors-A2541HWR-2x4P_C239355.html"
"L1","1","15uH","15uH_MWSA0603S","Inductor_MWSA0603S","Sunlord","MWSA0603S-150MT","https://lcsc.com/product-detail/Power-Inductors_Sunlord-MWSA0603S-150MT_C408452.html"
"LED1, LED2, LED3, LED4, LED5","5","GRN","LED_GRN_0805 (Foshan)","LED_0805","Foshan NationStar Optoelectronics","NCD0805G1","https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Foshan-NationStar-Optoelectronics-NCD0805G1_C84260.html"
