"RefDes","Origin X (mm)","Origin Y (mm)","Side","Rotate"
"C1","23.419","36.907","Top","90.0"
"C2","18.308","23.508","Top","90.0"
"C3","28.808","23.508","Top","90.0"
"C4","27.559","30.353","Top","0.0"
"C5","38.508","36.907","Top","90.0"
"C6","33.208","23.508","Top","90.0"
"C7","44.008","23.508","Top","90.0"
"C8","42.508","30.328","Top","0.0"
"C9","27.712","28.994","Top","180.0"
"C10","42.685","28.994","Top","180.0"
"C11","26.455","31.979","Top","180.0"
"C12","19.393","28.88","Top","90.0"
"C13","41.733","31.903","Top","180.0"
"C14","34.37","28.88","Top","90.0"
"C15","106.418","43.504","Top","180.0"
"C16","53.508","36.907","Top","90.0"
"C17","48.108","23.508","Top","90.0"
"C18","59.108","23.508","Top","90.0"
"C19","57.408","30.328","Top","0.0"
"C20","68.508","36.907","Top","90.0"
"C21","63.208","23.508","Top","90.0"
"C22","73.958","23.508","Top","90.0"
"C23","72.508","30.328","Top","0.0"
"C24","57.662","28.956","Top","180.0"
"C25","72.673","28.994","Top","180.0"
"C26","94.146","59.855","Top","0.0"
"C27","56.352","31.979","Top","180.0"
"C28","49.232","29.033","Top","90.0"
"C29","70.868","31.979","Top","180.0"
"C30","64.306","28.88","Top","90.0"
"C31","34.64","64.617","Top","90.0"
"C32","91.606","79.064","Top","180.0"
"C33","80.493","79.223","Top","180.0"
"C34","82.63","27.523","Top","270.0"
"C35","68.58","78.747","Top","180.0"
"C36","57.316","78.747","Top","180.0"
"C37","84.58","21.173","Top","0.0"
"C38","80.781","22.473","Top","270.0"
"C39","78.281","22.573","Top","270.0"
"C40","85.931","31.523","Top","180.0"
"D1","98.983","43.504","Top","180.0"
"J1","23.508","14.508","Top","0.0"
"J2","38.508","14.508","Top","0.0"
"J3","85.168","47.609","Top","180.0"
"J4","85.168","50.149","Top","180.0"
"J5","85.168","73.009","Top","180.0"
"J6","53.508","14.508","Top","0.0"
"J7","68.508","14.508","Top","0.0"
"J8","38.107","80.373","Top","180.0"
"J9","29.374","80.373","Top","180.0"
"J10","20.962","80.373","Top","180.0"
"J11","47.949","80.373","Top","180.0"
"J12","97.003","80.373","Top","180.0"
"J13","85.573","80.373","Top","180.0"
"J14","74.143","80.373","Top","180.0"
"J15","62.713","80.373","Top","180.0"
"J16","105.258","36.519","Top","90.0"
"J17","53.462","48.743","Top","0.0"
"L1","82.33","15.673","Top","180.0"
"LED1","38.107","74.564","Top","90.0"
"LED2","20.962","74.778","Top","90.0"
"LED3","47.791","74.564","Top","90.0"
"LED4","29.534","74.778","Top","90.0"
"LED5","90.424","39.536","Top","90.0"
"MOD1","26.677","44.989","Top","180.0"
"R1","67.952","70.809","Top","0.0"
"R2","26.808","20.808","Top","90.0"
"R3","20.208","20.808","Top","90.0"
"R4","41.769","20.808","Top","90.0"
"R5","35.272","20.808","Top","90.0"
"R6","56.789","20.808","Top","90.0"
"R7","50.221","20.808","Top","90.0"
"R8","71.732","20.808","Top","90.0"
"R9","65.266","20.808","Top","90.0"
"R10","33.01","55.474","Top","270.0"
"R11","30.47","55.474","Top","270.0"
"R12","28.02","55.474","Top","270.0"
"R13","91.606","77.636","Top","0.0"
"R14","80.493","77.794","Top","0.0"
"R15","25.312","55.474","Top","270.0"
"R16","91.606","80.176","Top","0.0"
"R17","80.493","80.373","Top","0.0"
"R18","34.508","55.474","Top","90.0"
"R19","31.821","55.474","Top","90.0"
"R20","29.17","55.474","Top","90.0"
"R21","24.133","55.474","Top","90.0"
"R22","40.012","74.823","Top","270.0"
"R23","22.708","74.823","Top","270.0"
"R24","49.537","74.823","Top","270.0"
"R25","31.122","74.823","Top","270.0"
"R26","68.58","77.585","Top","0.0"
"R27","57.316","77.159","Top","0.0"
"R28","68.58","80.373","Top","0.0"
"R29","57.316","80.115","Top","0.0"
"R30","87.931","26.623","Top","270.0"
"R31","88.519","39.536","Top","270.0"
"R32","84.431","29.723","Top","180.0"
"R33","87.63","29.723","Top","180.0"
"SD1","103.353","61.357","Top","180.0"
"TB1","103.227","20.161","Top","90.0"
"U1","23.508","28.108","Top","180.0"
"U2","38.508","28.108","Top","180.0"
"U3","53.462","28.108","Top","180.0"
"U4","68.462","28.108","Top","180.0"
"U5","29.575","63.13","Top","0.0"
"U6","85.031","26.573","Top","90.0"
