"RefDes","Origin X (mm)","Origin Y (mm)","Side","Rotate"
"C1","13.411","26.899","Top","90.0"
"C2","8.3","13.5","Top","90.0"
"C3","18.8","13.5","Top","90.0"
"C4","17.551","20.345","Top","0.0"
"C5","28.5","26.899","Top","90.0"
"C6","23.2","13.5","Top","90.0"
"C7","34","13.5","Top","90.0"
"C8","32.5","20.32","Top","0.0"
"C9","17.704","18.986","Top","180.0"
"C10","32.677","18.986","Top","180.0"
"C11","16.447","21.971","Top","180.0"
"C12","9.385","18.872","Top","90.0"
"C13","31.725","21.895","Top","180.0"
"C14","24.362","18.872","Top","90.0"
"C15","96.41","33.496","Top","180.0"
"C16","43.5","26.899","Top","90.0"
"C17","38.1","13.5","Top","90.0"
"C18","49.1","13.5","Top","90.0"
"C19","47.4","20.32","Top","0.0"
"C20","58.5","26.899","Top","90.0"
"C21","53.2","13.5","Top","90.0"
"C22","63.95","13.5","Top","90.0"
"C23","62.5","20.32","Top","0.0"
"C24","47.654","18.948","Top","180.0"
"C25","62.665","18.986","Top","180.0"
"C26","84.138","49.847","Top","0.0"
"C27","46.344","21.971","Top","180.0"
"C28","39.224","19.025","Top","90.0"
"C29","60.86","21.971","Top","180.0"
"C30","54.298","18.872","Top","90.0"
"C31","24.632","54.609","Top","90.0"
"C32","81.598","69.056","Top","180.0"
"C33","70.485","69.215","Top","180.0"
"C34","75.406","8.731","Top","0.0"
"C35","58.572","68.739","Top","180.0"
"C36","47.308","68.739","Top","180.0"
"C37","69.056","5.874","Top","0.0"
"C38","69.056","7.779","Top","0.0"
"C39","70.009","17.462","Top","0.0"
"C40","70.009","19.367","Top","0.0"
"C41","80.9","4.6","Top","180.0"
"C42","82.4","5.039","Top","90.0"
"D1","88.975","33.496","Top","180.0"
"D2","75.406","12.224","Top","180.0"
"J1","13.5","4.5","Top","0.0"
"J2","28.5","4.5","Top","0.0"
"J3","75.16","37.601","Top","180.0"
"J4","75.16","40.141","Top","180.0"
"J5","75.16","63.001","Top","180.0"
"J6","43.5","4.5","Top","0.0"
"J7","58.5","4.5","Top","0.0"
"J8","28.099","70.365","Top","180.0"
"J9","19.366","70.365","Top","180.0"
"J10","10.954","70.365","Top","180.0"
"J11","37.941","70.365","Top","180.0"
"J12","86.995","70.365","Top","180.0"
"J13","75.565","70.365","Top","180.0"
"J14","64.135","70.365","Top","180.0"
"J15","52.705","70.365","Top","180.0"
"J16","95.25","26.511","Top","90.0"
"J17","43.454","38.735","Top","0.0"
"L1","75.556","18.256","Top","180.0"
"LED1","28.099","64.556","Top","90.0"
"LED2","10.954","64.77","Top","90.0"
"LED3","37.783","64.556","Top","90.0"
"LED4","19.526","64.77","Top","90.0"
"LED5","80.416","30.028","Top","90.0"
"MOD1","16.669","34.981","Top","180.0"
"R1","57.944","60.801","Top","0.0"
"R2","16.8","10.8","Top","90.0"
"R3","10.2","10.8","Top","90.0"
"R4","31.761","10.8","Top","90.0"
"R5","25.264","10.8","Top","90.0"
"R6","46.781","10.8","Top","90.0"
"R7","40.213","10.8","Top","90.0"
"R8","61.724","10.8","Top","90.0"
"R9","55.258","10.8","Top","90.0"
"R10","23.002","45.466","Top","270.0"
"R11","20.462","45.466","Top","270.0"
"R12","18.012","45.466","Top","270.0"
"R13","15.304","45.466","Top","270.0"
"R14","81.598","67.628","Top","0.0"
"R15","70.485","67.786","Top","0.0"
"R16","81.598","70.168","Top","0.0"
"R17","70.485","70.365","Top","0.0"
"R18","24.5","45.466","Top","90.0"
"R19","21.813","45.466","Top","90.0"
"R20","19.162","45.466","Top","90.0"
"R21","14.125","45.466","Top","90.0"
"R22","30.004","64.815","Top","270.0"
"R23","12.7","64.815","Top","270.0"
"R24","39.529","64.815","Top","270.0"
"R25","21.114","64.815","Top","270.0"
"R26","58.572","67.577","Top","0.0"
"R27","47.308","67.151","Top","0.0"
"R28","58.572","70.365","Top","0.0"
"R29","47.308","70.107","Top","0.0"
"R30","76.835","2.381","Top","180.0"
"R31","78.511","30.028","Top","270.0"
"R32","73.5","2.4","Top","180.0"
"R33","80.9","5.5","Top","180.0"
"R34","78.899","2.381","Top","180.0"
"SD1","93.345","51.349","Top","180.0"
"TB1","93.219","10.153","Top","90.0"
"U1","13.5","18.1","Top","180.0"
"U2","28.5","18.1","Top","180.0"
"U3","43.454","18.1","Top","180.0"
"U4","58.454","18.1","Top","180.0"
"U5","19.567","53.122","Top","0.0"
"U6","75.556","5.715","Top","270.0"
